location,max_pop,longitude,latitude
Tokyo,37977000,139.6922,35.6897
Jakarta,34540000,106.8451,-6.2146
Delhi,29617000,77.23,28.66
Mumbai,23355000,72.8333,18.9667
Manila,23088000,120.9772,14.5958
Shanghai,22120000,121.4667,31.1667
Sao Paulo,22046000,-46.6339,-23.5504
Seoul,21794000,127,37.5833
Mexico City,20996000,-99.1333,19.4333
Guangzhou,20902000,113.259,23.1288
Beijing,19433000,116.3914,39.905
Cairo,19372000,31.2394,30.0561
New York,18713220,-73.9249,40.6943
Kolkata,17560000,88.3378,22.5411
Moscow,17125000,37.6178,55.7558
Bangkok,17066000,100.5167,13.75
Buenos Aires,16157000,-58.3819,-34.5997
Shenzhen,15929000,114.054,22.535
Dhaka,15443000,90.3961,23.7161
Lagos,15279000,3.4,6.45
Istanbul,15154000,28.9603,41.01
Osaka,14977000,135.5019,34.6936
Karachi,14835000,67.01,24.86
Bangalore,13707000,77.598,12.9699
Tehran,13633000,51.4167,35.7
Kinshasa,13528000,15.3139,-4.3317
Ho Chi Minh City,13312000,106.6333,10.8167
Los Angeles,12750807,-118.4068,34.1139
Rio de Janeiro,12272000,-43.1964,-22.9083
Nanyang,12010000,112.5292,32.9987
Chennai,11324000,80.275,13.0825
Chengdu,11309000,104.0667,30.6636
Lahore,11021000,74.3436,31.5497
Paris,11020000,2.3522,48.8566
London,10979000,-0.1275,51.5072
Linyi,10820000,118.3425,35.0606
Tianjin,10800000,117.2056,39.1467
Shijiazhuang,10784600,114.5086,38.0422
Baoding,10700000,115.4845,38.8671
Zhoukou,9901000,114.6418,33.625
Lima,9848000,-77.0333,-12.05
Hyderabad,9746000,78.4667,17.3667
Bogota,9464000,-74.0705,4.6126
Weifang,9373000,119.1,36.7167
Nagoya,9113000,136.9333,35.1167
Wuhan,8962000,114.2881,30.5872
Heze,8750000,115.4333,35.2333
Ganzhou,8677600,114.9336,25.8292
Tongshan,8669000,117.1859,34.261
Chicago,8604203,-87.6862,41.8373
Handan,8499000,114.4894,36.6116
Luanda,8417000,13.2344,-8.8383
Fuyang,8360000,115.8045,32.8986
Kuala Lumpur,8285000,101.6953,3.1478
Jining,8023000,116.5667,35.4
Dongguan,7981000,113.7493,23.0475
Hanoi,7785000,105.8412,21.0245
Pune,7764000,73.8553,18.5196
Chongqing,7739000,106.5069,29.55
Changchun,7674439,125.2,43.9
Zhumadian,7640000,114.0253,32.9773
Ningbo,7639000,121.5492,29.875
Onitsha,7635000,6.7833,6.1667
Nanjing,7496000,118.7667,32.05
Hefei,7457027,117.2808,31.8639
Ahmadabad,7410000,72.58,23.03
Hong Kong,7347000,114.185,22.305
Khartoum,7282000,32.5265,15.6031
Nantong,7282835,120.8873,31.9829
Yancheng,7260240,120.1339,33.3936
Foshan,7194311,113.1056,23.0292
Nanning,7153300,108.315,22.8192
Hengyang,7148344,112.5857,26.8968
Xi'an,7135000,108.9,34.2667
Shenyang,7105000,123.4258,41.8039
Tangshan,7100000,118.1742,39.6292
Shaoyang,7071000,111.4725,27.2418
Changsha,7044118,112.9709,28.1987
Santiago,7007000,-70.6667,-33.45
Zhengzhou,7005000,113.6605,34.7492
Zhanjiang,6900000,110.4031,21.1967
Riyadh,6881000,46.71,24.65
Cangzhou,6800000,116.8452,38.3037
Dar es Salaam,6698000,39.2833,-6.8
Maoming,6706000,110.9178,21.6618
Huanggang,6667000,114.875,30.45
Xinyang,6634000,114.0672,32.1264
Shangrao,6579714,117.9633,28.4419
Luoyang,6549941,112.4245,34.6587
Bijie,6537498,105.2863,27.3019
Yantai,6516900,121.2664,37.3997
Quanzhou,6480000,118.5858,24.9139
Hangzhou,6446000,120.1675,30.25
Miami,6445545,-80.2102,25.7839
Kunming,6250000,102.7061,25.0433
Nanchong,6183000,106.0784,30.7991
Zunyi,6127009,106.9336,27.705
Lu'an,6090000,116.5078,31.7542
Yichun,6048700,114.383,27.8041
Taizhou,5968838,121.4221,28.6583
Liaocheng,5955300,115.9833,36.45
Qujing,5855055,103.8029,25.5102
Xiangyang,5844000,112.1531,32.0654
Surat,5807000,72.83,21.17
Baghdad,5796000,44.4167,33.35
Qingdao,5775000,120.4,36.1167
Singapore,5745000,103.8,1.3
Dallas,5743938,-96.7662,32.7936
Changde,5717200,111.6839,29.0397
Dazhou,5693000,107.4947,31.2152
Suzhou,5690000,116.9683,33.6333
Philadelphia,5649300,-75.1339,40.0077
Jieyang,5634000,116.3649,23.5533
Nairobi,5545000,36.8172,-1.2864
Nangandao,5516000,113.8851,35.2992
Ankara,5503985,32.85,39.93
Tai'an,5499000,117.0809,36.2001
Yulin,5487368,110.1507,22.6293
Dezhou,5470000,116.3105,37.4513
Houston,5464251,-95.3889,29.7863
Atlanta,5449398,-84.4224,33.7627
Rangoon,5430000,96.15,16.8
Toronto,5429524,-79.3733,43.7417
Suihua,5420000,126.9808,46.6384
Washington,5379184,-77.0163,38.9047
Qiqihar,5367003,123.9512,47.3398
Jinhua,5361572,119.6494,29.1046
Saint Petersburg,5351935,30.3167,59.95
Shantou,5319028,116.6941,23.3735
Sydney,5312163,151.2094,-33.865
Weinan,5300000,109.4684,34.4996
Suqian,5290000,118.2831,33.9331
Guadalajara,5253000,-103.3475,20.6767
Suzhou,5250000,120.6164,31.304
Fuzhou,5245000,119.2917,26.0769
Zhaotong,5213521,103.7144,27.3328
Pudong,5187200,121.5397,31.2231
Yongzhou,5180235,111.5953,26.4515
Belo Horizonte,5159000,-43.9478,-19.8917
Zhangzhou,5140000,117.6612,24.5093
Bozhou,5100000,115.7742,33.8626
Melbourne,5078193,144.9631,-37.8136
Nanchang,5042565,115.8872,28.6842
Xianyang,5040000,108.7167,34.35
Taizhou,5031000,119.9,32.4831
Surabaya,4975000,112.7378,-7.2458
Abidjan,4980000,-4.0267,5.3364
Ji'an,4956600,114.9793,27.1172
Mianyang,4945000,104.7385,31.4669
Shaoxing,4912239,120.5833,30
Alexandria,4870000,29.9167,31.2
Yuncheng,4860000,110.998,35.0304
Pingdingshan,4838000,113.2999,33.735
Huai'an,4799889,119.1331,33.5
Xinpu,4790000,119.1801,34.5906
Guilin,4747963,110.2833,25.2667
Huaihua,4741948,109.9592,27.5494
Jiujiang,4728778,116.0021,29.7048
Anqing,4723000,117.0333,30.5
Boston,4688346,-71.0846,42.3188
Huanglongsi,4676159,114.3403,34.7936
Xiaoganzhan,4665000,113.911,30.9273
Changzhou,4592431,119.9692,31.8122
Barcelona,4588000,2.1769,41.3825
Chenzhou,4581778,113.0267,25.7989
Wuxi,4580000,120.2833,31.5667
Zibo,4530597,118.0497,36.7831
Jiaxing,4501657,120.75,30.7522
Dalian,4480000,121.61,38.9131
Harbin,4458000,126.6333,45.75
Yangzhou,4459000,119.4363,32.3912
Yibin,4456000,104.64,28.7596
Jiangmen,4448871,113.0833,22.5833
Johannesburg,4434827,28.0416,-26.2044
Meizhou,4378800,116.1191,24.2998
Chifeng,4376600,118.9223,42.2663
Casablanca,4370000,-7.62,33.5992
Guiyang,4365000,106.7078,26.5794
Langfang,4358839,116.7006,39.5196
Zhangjiakou,4345491,114.8811,40.8108
Izmir,4320519,27.1384,38.4127
Linfen,4316610,111.5087,36.0812
Wenzhou,4310000,120.6561,27.9991
Monterrey,4295000,-100.3,25.6667
Luzhou,4291000,105.4409,28.8918
Jiangguanchi,4289000,113.8201,34.0244
Neijiang,4238000,105.0635,29.5872
Phoenix,4219697,-112.0891,33.5722
Yanjiang,4217000,104.6397,30.1256
Yiyang,4174000,112.3333,28.5833
Zhaoqing,4151700,112.465,23.047
Hengshui,4150000,115.686,37.7348
Guigang,4118808,109.6092,23.0961
Xiaoxita,4115000,111.2803,30.7083
Xiamen,4110000,118.0819,24.4797
Chuzhou,4110000,118.3115,32.3062
Fuzhou,4047200,116.3577,27.9814
Amman,4007526,35.9333,31.95
Jeddah,3976000,39.1728,21.5428
Sialkot City,3893672,74.5333,32.5
Huizhou,3875000,114.4152,23.1115
Qingyuan,3874000,113.0507,23.6842
Zhuzhou,3855609,113.1469,27.8407
Wuhu,3842100,118.3622,31.334
Hechi,3830000,109.6091,23.0965
Seattle,3789215,-122.3244,47.6211
Loudi,3785627,111.9974,27.7378
Binzhou,3779200,118.0125,37.3806
Liuzhou,3758704,109.4069,24.3181
Yokohama,3748781,139.6333,35.4333
Baojishi,3738700,107.1751,34.3609
Guang'an,3723000,106.6336,30.4673
Hanzhong,3700000,107.026,33.0794
Kabul,3678034,69.1658,34.5328
Zaozhuang,3650000,117.55,34.8667
Berlin,3644826,13.3833,52.5167
Anshan,3645884,122.9895,41.1066
Deyang,3636000,104.395,31.1289
Lanzhou,3616163,103.8318,36.0617
Chengde,3610000,117.9322,40.9739
San Francisco,3592294,-122.443,37.7562
Puyang,3580000,115.03,35.7639
Suining,3556000,105.5737,30.5098
Jiaozuo,3540101,113.2304,35.229
Bengbu,3525000,117.3531,32.9354
Montreal,3519595,-73.5617,45.5089
Detroit,3506126,-83.1024,42.3834
Baicheng,3466758,106.6194,23.901
Busan,3440484,129.0403,35.1
Algiers,3415811,3.0586,36.7764
Qincheng,3400000,105.7311,34.5809
Taiyuan,3398000,112.5425,37.8733
Lucknow,3382000,80.947,26.847
Chaoyang,3370000,120.4486,41.5757
Hechi,3369251,108.085,24.6928
Leshan,3364000,103.7575,29.5854
Yulinshi,3328000,109.7388,38.2655
Siping,3300000,124.3644,43.1715
Madrid,3266126,-3.6919,40.4189
Jinan,3250000,116.9833,36.6667
Shiyan,3228000,110.7755,32.6351
Changzhi,3230000,113.097,36.1953
San Diego,3220118,-117.1225,32.8312
Faisalabad,3203846,73.079,31.418
Santa Cruz,3151676,-63.1975,-17.7892
Bazhou,3134000,106.7559,31.8576
Zhongshan,3121275,113.35,22.5333
Zhenjiang,3113384,119.4551,32.2109
Urumqi,3112559,87.6,43.825
Tongliao,3094600,122.264,43.6172
Heyuan,3093900,114.6923,23.7503
Tongren,3093204,109.1885,27.7233
Qinzhou,3079721,108.6167,21.95
Jaipur,3073350,75.8667,26.9167
Xinzhou,3067501,112.7233,38.4178
Addis Ababa,3041002,38.7369,9.0272
Giza,3021542,31.2118,29.987
Meishan,3020000,103.8381,30.0575
Brasilia,3015268,-48.0773,-15.7744
Mashhad,3001184,59.6042,36.3069
Jinzhou,3000000,121.1292,41.1144
Tieling,3000000,123.8365,42.2841
Shaoguan,2997600,113.5927,24.8011
Shanwei,2990000,115.3331,22.7664
Minneapolis,2977172,-93.2678,44.9635
Kyiv,2967000,30.5236,50.45
Sanaa,2957000,44.2,15.35
Quezon City,2936116,121.0333,14.6333
Dingxi,2930000,104.6263,35.5806
Salvador,2921087,-38.5108,-12.9708
Incheon,2913024,126.6486,37.4639
Bursa,2901396,29.0667,40.1833
Ningde,2910000,119.5167,26.6667
Tampa,2908063,-82.4451,27.9942
Daqing,2904532,125.008,46.5979
Birmingham,2897303,-1.9025,52.48
Putian,2900000,119.0103,25.4394
Huzhou,2893542,120.0958,30.8695
Wuzhou,2882200,111.3167,23.4833
Denver,2876625,-104.8759,39.7621
Rome,2872800,12.4828,41.8931
La Paz,2867504,-68.1475,-16.4942
Pyongyang,2863000,125.73,39.03
Kano,2828861,8.5167,12
Taichung,2803894,120.6667,24.15
Omdurman,2805396,32.4629,15.6835
Zigong,2800000,104.7645,29.3498
Qinhuangdao,2800000,119.5881,39.9398
Mudanjiang,2790000,129.5997,44.5861
Huludao,2787000,120.8378,40.7094
Kaohsiung,2773533,120.3,22.6167
Xiangtan,2748552,112.9228,27.8431
Guayaquil,2723665,-79.8833,-2.1833
Rizhao,2720000,119.4331,35.4164
Manchester,2705000,-2.2453,53.4794
Cawnpore,2701324,80.3311,26.4725
Baotou,2700000,109.8345,40.6562
Taipei,2684567,121.5319,25.0478
Nanping,2690000,118.1728,26.6448
Longyan,2640000,117.0244,25.0881
Ibadan,2628000,3.9167,7.3964
Hohhot,2635000,111.6629,40.8151
Chaozhou,2620000,116.63,23.67
Antananarivo,2610000,47.5214,-18.9386
Longba,2614000,105.349,33.535
Weihai,2596753,122.1,37.5
Chattogram,2581643,91.8325,22.335
Santo Domingo,2581827,-69.8933,18.4764
Xuanzhou,2580000,118.7518,30.9475
Sanming,2580000,117.6302,26.2658
Brooklyn,2559903,-73.9496,40.6501
Medellin,2529403,-75.5748,6.2447
Brisbane,2514184,153.0281,-27.4678
Baoshan,2506491,99.169,25.1211
Dubai,2502715,55.3094,25.2697
Luohe,2500000,114.0109,33.583
Qinbaling,2500000,107.64,35.7278
Mirzapur,2496970,82.58,25.15
Guangyuan,2484122,105.8398,32.4353
Cali,2471474,-76.5197,3.44
Daegu,2461002,128.6,35.8667
Fortaleza,2452185,-38.5275,-3.7275
Guatemala City,2450212,-90.5252,14.6099
Yaounde,2440462,11.5181,3.8578
Douala,2446945,9.7,4.05
Jilin,2396000,126.55,43.85
Lianshan,2426000,120.83,40.7503
Lincang,2429497,100.0871,23.8864
Antalya,2426356,30.6956,36.9081
Tashkent,2424100,69.2667,41.3
Huangshi,2419000,115.0326,30.2018
Bandung,2394873,107.5667,-6.95
Nagpur,2405665,79.0831,21.1539
Dandong,2400000,124.3833,40.1167
