iata,name,city,state,country,latitude,longitude
00M,USBP,Bay Springs,MS,USA,31.95376472,-89.23450472
00R,USBP,Livingston,TX,USA,30.68586111,-95.01792778
00V,USBP,Colorado Springs,CO,USA,38.94574889,-104.5698933
01G,USBP,Perry,NY,USA,42.74134667,-78.05208056
01J,USBP,Hilliard,FL,USA,30.6880125,-81.90594389
01M,USBP,Belmont,MS,USA,34.49166667,-88.20111111
02A,USBP,Clanton,AL,USA,32.85048667,-86.61145333
02C,USBP,Brookfield,WI,USA,43.08751,-88.17786917
02G,USBP,East Liverpool,OH,USA,40.67331278,-80.64140639
03D,USBP,Memphis,MO,USA,40.44725889,-92.22696056
04M,USBP,Pittsboro,MS,USA,33.93011222,-89.34285194
04Y,USBP,Hawley,MN,USA,46.88384889,-96.35089861
05C,USBP,Griffith,IN,USA,41.51961917,-87.40109333
05F,USBP,Gatesville,TX,USA,31.42127556,-97.79696778
05U,USBP,Eureka,NV,USA,39.60416667,-116.0050597
06A,USBP,Tuskegee,AL,USA,32.46047167,-85.68003611
06C,USBP,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278
06D,USBP,Rolla,ND,USA,48.88434111,-99.62087694
06M,USBP,Eupora,MS,USA,33.53456583,-89.31256917
06N,USBP,Middletown,NY,USA,41.43156583,-74.39191722
06U,USBP,Jackpot,NV,USA,41.97602222,-114.6580911
07C,USBP,Auburn,IN,USA,41.30716667,-85.06433333
07F,USBP,Gladewater,TX,USA,32.52883861,-94.97174556
07G,USBP,Charlotte,MI,USA,42.57450861,-84.81143139
07K,USBP,Central City,NE,USA,41.11668056,-98.05033639
08A,USBP,Wetumpka,AL,USA,32.52943944,-86.32822139
08D,USBP,Stanley,ND,USA,48.30079861,-102.4063514
08K,USBP,Harvard,NE,USA,40.65138528,-98.07978667
08M,USBP,Carthage,MS,USA,32.76124611,-89.53007139
09A,USBP,Butler,AL,USA,32.11931306,-88.1274625
09J,USBP,Jekyll Island,GA,USA,31.07447222,-81.42777778
09K,USBP,Sargent,NE,USA,41.63695083,-99.34038139
09M,USBP,Charleston,MS,USA,33.99150222,-90.078145
09W,USBP,Washington,DC,USA,38.86872333,-77.00747583
0A3,USBP,Smithville,TN,USA,35.98531194,-85.80931806
0A8,USBP,Centreville,AL,USA,32.93679056,-87.08888306
0A9,USBP,Elizabethton,TN,USA,36.37094306,-82.17374111
0AK,USBP,Pilot Station,AK,USA,61.93396417,-162.8929358
0B1,USBP,Bethel,ME,USA,44.42506444,-70.80784778
0B4,USBP,Hartington,NE,USA,42.60355556,-97.25263889
0B5,USBP,Montague,MA,USA,42.59136361,-72.52275472
0B7,USBP,Warren,VT,USA,44.11672722,-72.82705806
0B8,USBP,Fishers Island,NY,USA,41.25130806,-72.03161139
0C0,USBP,Chicago/Harvard,IL,USA,42.40418556,-88.63343222
0C4,USBP,Pender,NE,USA,42.11388722,-96.72892556
0D1,USBP,South Haven,MI,USA,42.35083333,-86.25613889
0D8,USBP,Gettysburg,SD,USA,44.98730556,-99.9535
0.00E+00,USBP,Moriarty,NM,USA,34.98560639,-106.0094661
0.00E+00,USBP,Crownpoint,NM,USA,35.71765889,-108.2015961
0F2,USBP,Bowie,TX,USA,33.60166667,-97.77556
0F4,USBP,Loup City,NE,USA,41.29028694,-98.99064278
0F7,USBP,Eufaula,OK,USA,35.38898833,-95.60165111
0F8,USBP,Sand Springs,OK,USA,36.17528,-96.15181028
0F9,USBP,Tishomingo,OK,USA,34.19592833,-96.67555694
0G0,USBP,Lockport,NY,USA,43.10318389,-78.70334583
0G3,USBP,Tecumseh,NE,USA,40.39944417,-96.17139694
0G6,USBP,Bryan,OH,USA,41.46736111,-84.50655556
0G7,USBP,Seneca Falls,NY,USA,42.88062278,-76.78162028
